"nom","dept","comm","arr","tncc","population","latitude","longitude"
"Jolimetz","59","325","1","0","914","50.22833","3.67611"
"Killem","59","326","4","0","990","50.958060000000003","2.5622199999999999"
"Lallaing","59","327","3","0","6564","50.390000000000001","3.1680600000000001"
"Lambersart","59","328","5","0","28870","50.649439999999998","3.0241699999999998"
"Lambres-lez-Douai","59","329","3","0","5198","50.353200000000001","3.0680000000000001"
"Landas","59","330","3","0","2413","50.473610000000001","3.30139"
"Landrecies","59","331","1","0","3677","50.12556","3.6899999999999999"
"Lannoy","59","332","5","0","1725","50.666110000000003","3.2105600000000001"
"Larouillies","59","333","1","0","276","50.03389","3.9249999999999998"
"Lauwin-Planque","59","334","3","0","1835","50.390000000000001","3.0441699999999998"
"Lecelles","59","335","6","0","2698","50.470829999999999","3.3944399999999999"
"Lécluse","59","336","3","0","1455","50.276699999999998","3.0419"
"Lederzeele","59","337","4","0","602","50.821669999999997","2.3022200000000002"
"Ledringhem","59","338","4","0","695","50.85472","2.4408300000000001"
"Leers","59","339","5","0","9356","50.681669999999997","3.2438899999999999"
"Leffrinckoucke","59","340","4","0","4628","51.053400000000003","2.4388999999999998"
"Lesdain","59","341","2","0","417","50.100000000000001","3.26667"
"Lez-Fontaine","59","342","1","0","220","50.177700000000002","4.0625"
"Lesquin","59","343","5","0","6442","50.58972","3.11111"
"Leval","59","344","1","0","2339","50.17944","3.82972"
"Lewarde","59","345","3","0","2780","50.340829999999997","3.1686100000000001"
"Lezennes","59","346","5","0","3099","50.614440000000002","3.1133299999999999"
"Liessies","59","347","1","0","565","50.117780000000003","4.0819400000000003"
"Lieu-Saint-Amand","59","348","6","0","1274","50.273060000000001","3.3452799999999998"
"Ligny-en-Cambrésis","59","349","2","0","1836","50.099719999999998","3.3791699999999998"
"Lille","59","350","5","0","234058","50.63194","3.0575000000000001"
"Limont-Fontaine","59","351","1","0","583","50.208060000000003","3.9222199999999998"
"Linselles","59","352","5","0","8371","50.737220000000001","3.07944"
"Locquignol","59","353","1","0","350","50.198610000000002","3.71611"
"Loffre","59","354","3","0","770","50.356389999999998","3.1691699999999998"
"Lompret","59","356","5","0","2390","50.668889999999998","2.9894400000000001"
"Longueville","59","357","1","3","2210","50.289169999999999","3.8569399999999998"
"Looberghe","59","358","4","0","1208","50.91639","2.2749999999999999"
"Loon-Plage","59","359","4","0","6388","50.994","2.2202000000000002"
"Loos","59","360","5","0","22081","50.612220000000001","3.0136099999999999"
"Lourches","59","361","6","0","3933","50.314720000000001","3.35528"
"Louvignies-Quesnoy","59","363","1","0","964","50.223889999999997","3.6425000000000001"
"Louvil","59","364","5","0","871","50.558889999999998","3.1941700000000002"
"Louvroil","59","365","1","0","6894","50.265000000000001","3.96"
"Lynde","59","366","4","0","701","50.712780000000002","2.4191699999999998"
"Lys-lez-Lannoy","59","367","5","0","13067","50.671799999999998","3.2155999999999998"
"Madeleine","59","368","5","3","22758","50.655279999999998","3.0702799999999999"
"Maing","59","369","6","0","4031","50.308889999999998","3.48583"
"Mairieux","59","370","1","0","792","50.314169999999997","3.9922399999999998"
"Maisnil","59","371","5","2","633","50.615000000000002","2.8852799999999998"
"Malincourt","59","372","2","0","515","50.047199999999997","3.3254000000000001"
"Marbaix","59","374","1","0","483","50.128059999999998","3.8413900000000001"
"Marchiennes","59","375","3","0","4812","50.408099999999997","3.2831000000000001"
"Marcoing","59","377","2","0","1865","50.121389999999998","3.17361"
"Marcq-en-Barœul","59","378","5","0","39782","50.670279999999998","3.09639"
"Marcq-en-Ostrevent","59","379","3","0","596","50.286110000000001","3.2411099999999999"
"Maresches","59","381","1","0","915","50.293059999999997","3.57667"
"Maretz","59","382","2","0","1503","50.046109999999999","3.4188900000000002"
"Marly","59","383","6","0","11958","50.348889999999997","3.5441699999999998"
"Maroilles","59","384","1","0","1457","50.134999999999998","3.7608299999999999"
"Marpent","59","385","1","0","2705","50.29139","4.07972"
"Marquette-lez-Lille","59","386","5","0","9877","50.675400000000003","3.0670999999999999"
"Marquette-en-Ostrevant","59","387","6","0","1692","50.287500000000001","3.2683300000000002"
"Marquillies","59","388","5","0","2017","50.556109999999997","2.8705599999999998"
"Masnières","59","389","2","0","2666","50.115279999999998","3.2097199999999999"
"Masny","59","390","3","0","4410","50.348610000000001","3.20167"
"Mastaing","59","391","6","0","926","50.30639","3.30389"
"Maubeuge","59","392","1","0","31435","50.276940000000003","3.9725000000000001"
"Maulde","59","393","6","0","968","50.502780000000001","3.4325000000000001"
"Maurois","59","394","2","0","427","50.075000000000003","3.4672200000000002"
"Mazinghien","59","395","2","0","325","50.049720000000001","3.6036100000000002"
"Mecquignies","59","396","1","0","663","50.275829999999999","3.7974999999999999"
"Merckeghem","59","397","4","0","583","50.86139","2.29583"
"Mérignies","59","398","5","0","2634","50.505560000000003","3.1099999999999999"
"Merris","59","399","4","0","1091","50.71528","2.6613899999999999"
